Namespace(beam=5, cpu=False, criterion='cross_entropy', data=['PATH_YOUR_OUTPUT/preprocessed_iwslt14/iwslt14deen'], dataset_impl=None, decoding_iterations=1, decoding_strategy='mask_predict', dehyphenate=False, diverse_beam_groups=-1, diverse_beam_strength=0.5, dynamic_length=False, force_anneal=None, fp16=False, fp16_init_scale=128, fp16_scale_tolerance=0.0, fp16_scale_window=None, gen_subset='test', gold_target_len=False, left_pad_source='True', left_pad_target='False', length_beam=5, lenpen=1, log_format=None, log_interval=1000, lr_scheduler='fixed', lr_shrink=0.1, mask_range=False, match_source_len=False, max_len_a=0, max_len_b=200, max_sentences=20, max_source_positions=1024, max_target_positions=1024, max_tokens=None, memory_efficient_fp16=False, min_len=1, min_loss_scale=0.0001, model_overrides='{}', momentum=0.99, nbest=1, no_beamable_mm=False, no_early_stop=False, no_progress_bar=False, no_repeat_ngram_size=0, num_shards=1, num_workers=0, optimizer='nag', path='DE2EN/checkpoint_best.pt', prefix_size=0, print_alignment=False, quiet=False, raw_text=False, remove_bpe='@@ ', replace_unk=None, required_batch_size_multiple=8, results_path=None, sacrebleu=False, sampling=False, sampling_topk=-1, sampling_topp=-1.0, score_reference=False, seed=1, self_target=False, shard_id=0, skip_invalid_size_inputs_valid_test=False, source_lang=None, target_lang=None, task='translation_self', tbmf_wrapper=False, temperature=1.0, tensorboard_logdir='', threshold_loss_scale=None, unkpen=0, unnormalized=False, upsample_primary=1, user_dir=None, warmup_updates=0, weight_decay=0.0)
| [de] dictionary: 8848 types
| [en] dictionary: 6640 types
| PATH_YOUR_OUTPUT/preprocessed_iwslt14/iwslt14deen test 6750 examples
| ['PATH_YOUR_OUTPUT/preprocessed_iwslt14/iwslt14deen'] test 6750 examples
| loading model(s) from DE2EN/checkpoint_best.pt
S-1267	warum ?
T-1267	why ?
H-1267	why ?

S-1347	ja ?
T-1347	right ?
H-1347	yes ?

S-1357	ja .
T-1357	yes .
H-1357	yeah . yeah .

S-1365	ja .
T-1365	yes .
H-1365	yeah . yeah .

S-1456	dabei .
T-1456	whereas .
H-1456	and this .

S-1464	ja ?
T-1464	right ?
H-1464	yes ?

S-1470	ja ?
T-1470	yes ?
H-1470	yes ?

S-1486	ja ?
T-1486	right ?
H-1486	yes ?

S-1510	ja ?
T-1510	right ?
H-1510	yes ?

S-1514	ja ?
T-1514	right ?
H-1514	yes ?

S-1531	ja .
T-1531	yes .
H-1531	yeah . yeah .

S-1546	ja ?
T-1546	right ?
H-1546	yes ?

S-1552	ja ?
T-1552	right ?
H-1552	yes ?

S-3625	kreativität .
T-3625	creativity .
H-3625	creativity . creativity .

S-3859	ja !
T-3859	yeah .
H-3859	yeah ! yeah !

S-4562	danke .
T-4562	thanks .
H-4562	thank you . thank you . thank you .

S-4625	okay .
T-4625	okay .
H-4625	okay . okay .

S-4628	ja .
T-4628	yeah .
H-4628	yeah . yeah .

S-4955	wirklich .
T-4955	really .
H-4955	really .

S-5504	nein .
T-5504	no .
H-5504	no .

S-5506	okay .
T-5506	okay .
H-5506	okay . okay .

S-721	danke .
T-721	thank you .
H-721	thank you . thank you . thank you .

S-722	danke .
T-722	thank you .
H-722	thank you . thank you . thank you .

S-737	wow !
T-737	whoa !
H-737	wow !

S-861	hallo !
T-861	hello !
H-861	hello !

S-1376	ja ?
T-1376	have you ?
H-1376	yes ?

S-1379	ja ?
T-1379	you see ?
H-1379	yes ?

S-1411	ja ?
T-1411	you see ?
H-1411	yes ?

S-1450	ja ?
T-1450	you see ?
H-1450	yes ?

S-2283	danke .
T-2283	thank you .
H-2283	thank you . thank you . thank you .

S-3016	danke .
T-3016	thank you .
H-3016	thank you . thank you . thank you .

S-3017	danke .
T-3017	thank you .
H-3017	thank you . thank you . thank you .

S-3090	ungefähr .
T-3090	sort of .
H-3090	it &apos;s about . it &apos;s about about .

S-3253	danke .
T-3253	thank you .
H-3253	thank you . thank you . thank you .

S-3748	danke .
T-3748	thank you .
H-3748	thank you . thank you . thank you .

S-3878	danke .
T-3878	thank you .
H-3878	thank you . thank you . thank you .

S-4258	danke .
T-4258	thank you .
H-4258	thank you . thank you . thank you .

S-4336	danke .
T-4336	thank you .
H-4336	thank you . thank you . thank you .

S-4461	danke .
T-4461	thank you .
H-4461	thank you . thank you . thank you .

S-4887	danke .
T-4887	thank you .
H-4887	thank you . thank you . thank you .

S-5136	gut .
T-5136	all right .
H-5136	all right .

S-5639	danke .
T-5639	thank you .
H-5639	thank you . thank you . thank you .

S-4626	fantastisch .
T-4626	awesome .
H-4626	fantastic . fantastic .

S-1489	nachhaltig .
T-1489	sustainable .
H-1489	sustainable .

S-1726	beschissen .
T-1726	terrible .
H-1726	sucks , it &apos;s sucked .

S-2919	fein .
T-2919	fine .
H-2919	fine .

S-3789	vielen dank .
T-3789	thanks .
H-3789	thank you very much . thank you very much .

S-4704	einzigartig .
T-4704	unique .
H-4704	unique .

S-551	vielen dank .
T-551	thank you .
H-551	thank you very much . thank you very much .

S-631	vielleicht nicht .
T-631	maybe not .
H-631	maybe not .

S-723	olé !
T-723	ole !
H-723	olé !

S-841	vielen dank .
T-841	thank you .
H-841	thank you very much . thank you very much .

S-881	vielen dank .
T-881	thank you .
H-881	thank you very much . thank you very much .

S-1126	vielen dank .
T-1126	thank you .
H-1126	thank you very much . thank you very much .

S-1197	come on .
T-1197	come on .
H-1197	come on .

S-1517	positiv .
T-1517	positively .
H-1517	positive .

S-1560	danke schön .
T-1560	thank you .
H-1560	thank you . thank you . thank you .

S-1722	danke schön .
T-1722	thank you .
H-1722	thank you . thank you . thank you .

S-2051	vielen dank .
T-2051	thank you .
H-2051	thank you very much . thank you very much .

S-2086	vielen dank .
T-2086	thank you .
H-2086	thank you very much . thank you very much .

S-2649	vielen dank .
T-2649	thank you .
H-2649	thank you very much . thank you very much .

S-2650	vielen dank .
T-2650	thank you .
H-2650	thank you very much . thank you very much .

S-3263	60.000 .
T-3263	60,000 .
H-3263	60,000 .

S-3774	vielen dank .
T-3774	thank you .
H-3774	thank you very much . thank you very much .

S-3786	vielen dank .
T-3786	thank you .
H-3786	thank you very much . thank you very much .

S-3822	vielen dank .
T-3822	thank you .
H-3822	thank you very much . thank you very much .

S-3824	vielen dank .
T-3824	thank you .
H-3824	thank you very much . thank you very much .

S-4053	vielen dank .
T-4053	thank you .
H-4053	thank you very much . thank you very much .

S-4101	vielen dank .
T-4101	thank you .
H-4101	thank you very much . thank you very much .

S-4110	danke schön .
T-4110	thank you .
H-4110	thank you . thank you . thank you .

S-4402	vielen dank .
T-4402	thank you .
H-4402	thank you very much . thank you very much .

S-4968	vielen dank .
T-4968	thank you .
H-4968	thank you very much . thank you very much .

S-5067	vielen dank .
T-5067	thank you .
H-5067	thank you very much . thank you very much .

S-5210	woah !
T-5210	wooo !
H-5210	ah !

S-5269	vielen dank .
T-5269	thank you .
H-5269	thank you very much . thank you very much .

S-5447	vielen dank .
T-5447	thank you .
H-5447	thank you very much . thank you very much .

S-5495	vielen dank .
T-5495	thank you .
H-5495	thank you very much . thank you very much .

S-5592	ziemlich einfach .
T-5592	pretty simple .
H-5592	pretty simple .

S-5882	vielen dank .
T-5882	thank you .
H-5882	thank you very much . thank you very much .

S-6329	danke schön .
T-6329	thank you .
H-6329	thank you . thank you . thank you .

S-6749	vielen dank .
T-6749	thank you .
H-6749	thank you very much . thank you very much .

S-1533	das geht .
T-1533	it &apos;s possible .
H-1533	that &apos;s going on .

S-2227	im ernst .
T-2227	no kidding .
H-2227	seriously .

S-3093	nun ja ,
T-3093	yes , well ...
H-3093	well ,

S-4717	geht das ?
T-4717	is that something ?
H-4717	can that do that ?

S-5198	das stimmt .
T-5198	it &apos;s true .
H-5198	that &apos;s true .

S-151	vielen dank .
T-151	thank you very much .
H-151	thank you very much . thank you very much .

S-207	vielen dank .
T-207	thank you so much .
H-207	thank you very much . thank you very much .

S-816	vielen dank .
T-816	thank you very much .
H-816	thank you very much . thank you very much .

S-885	vielen dank ,
T-885	thank you very much .
H-885	thank you very much . thank you very much .

S-1377	einen einzigen ?
T-1377	just one single one ?
H-1377	one ?

S-1389	allein darüber .
T-1389	just because of that .
H-1389	about it alone .

S-2791	vielen dank .
T-2791	thank you very much .
H-2791	thank you very much . thank you very much .

S-3255	vielen dank .
T-3255	thank you so much .
H-3255	thank you very much . thank you very much .

S-5196	vielen dank .
T-5196	thank you very much .
H-5196	thank you very much . thank you very much .

S-6619	vielen dank .
T-6619	thank you very much .
H-6619	thank you very much . thank you very much .

S-3044	toller trick ?
T-3044	nice one .
H-3044	great trick ?

S-4288	ich danke ihnen .
T-4288	thank you .
H-4288	thank you .

S-4450	... noch nicht .
T-4450	... yet .
H-4450	... not yet .

S-49	es ist interessant .
T-49	it &apos;s interesting .
H-49	it &apos;s interesting . it &apos;s interesting . it &apos;s interesting .

S-705	das ist schwer .
T-705	this is hard .
H-705	that &apos;s hard .

S-1211	das ist falsch .
T-1211	that &apos;s wrong .
H-1211	that &apos;s wrong .

S-1562	musik als sprache .
T-1562	music as language .
H-1562	music as a language .

S-1749	sie brauchen zeit .
T-1749	you need time .
H-1749	you need time time .

S-1951	das geht schnell .
T-1951	it goes fast .
H-1951	it &apos;s going fast .

S-1990	hier ist sie .
T-1990	here it is .
H-1990	here she is .

S-2151	halt zweimal .
T-2151	like twice over .
H-2151	stop .

S-3036	ta-da !
T-3036	ta-da !
H-3036	ta-da !

S-3250	wir wissen das .
T-3250	we know that .
H-3250	we know that .

S-3406	und er sagt ...
T-3406	and he says ...
H-3406	and he says ...

S-3633	ein paar weniger .
T-3633	a few less .
H-3633	a few less .

S-3668	das waren wir .
T-3668	that was us .
H-3668	that were us .

S-4175	von seattle ...
T-4175	from seattle ...
H-4175	seattle ...

S-4176	nach einer woche .
T-4176	after one week .
H-4176	after a week .

S-4370	ich danke euch .
T-4370	thank you guys .
H-4370	thank you . . thank you . thank you .

S-4567	ja . okay .
T-4567	yeah . okay .
H-4567	yeah . okay

S-4615	1,5 millionen .
T-4615	1.5 million .
H-4615	1.5 million .

S-4719	ich bin tom .
T-4719	i &apos;m tom .
H-4719	i &apos;m tom . i &apos;m tom . i &apos;m tom .

S-5131	sind das alle ?
T-5131	is that all ?
H-5131	are these all everybody ?

S-5306	wir waren arm .
T-5306	we were poor .
H-5306	we were poor .

S-5505	das ist nicht ...
T-5505	this is not ...
H-5505	that &apos;s not ...

S-5507	solartechnologie ist ...
T-5507	solar technology is ...
H-5507	solar technology is ...

S-6040	wir lieben innovation .
T-6040	we love innovation .
H-6040	we love innovation .

S-1009	ja , hallo .
T-1009	yes , hello .
H-1009	yeah , hi .

S-1428	findet nicht statt .
T-1428	that doesn &apos;t happen .
H-1428	don &apos;t happen .

S-1530	aber es geht .
T-1530	it is possible though .
H-1530	but it goes .

S-1662	nämlich das singen .
T-1662	which is singing .
H-1662	because that &apos;s singing .

S-2798	ich weiß nicht .
T-2798	i don &apos;t know .
H-2798	i don &apos;t know .

S-2884	es ist schrecklich .
T-2884	it &apos;s horrible .
H-2884	it &apos;s terrible . it &apos;s terrible . it &apos;s terrible .

S-4075	klingt das gut ?
T-4075	does that sound good ?
H-4075	does that sound good ?

S-4586	eine ganze menge .
T-4586	it &apos;s a lot .
H-4586	a lot of stuff .

S-4624	ich kann helfen .
T-4624	i can help you .
H-4624	i can help .

S-4700	ich weiß nicht .
T-4700	i don &apos;t know .
H-4700	i don &apos;t know .

S-5184	wir verlieren sie .
T-5184	we &apos;re losing them .
H-5184	we &apos;re losing them .

S-5209	oh mein gott !
T-5209	oh , my god !
H-5209	oh my god !

S-5261	was bedeutet das ?
T-5261	what does this mean ?
H-5261	what does that mean ?

S-5263	was bedeutet das ?
T-5263	what does it mean ?
H-5263	what does that mean ?

S-5311	nach hause wohin ?
T-5311	go home to where ?
H-5311	where ?

S-5807	wir heben ab .
T-5807	we &apos;re taking off .
H-5807	we pick up .

S-6042	wir lieben unterhaltung .
T-6042	we love entertainment .
H-6042	we love entertainment .

S-6187	oh mein gott .
T-6187	oh , my god .
H-6187	oh , my god .

S-855	die sonne geht auf
T-855	the sun is rising .
H-855	the sun goes up .

S-1032	fantastisch , oder ?
T-1032	fantastic , isn &apos;t it ?
H-1032	fantastic , right ?

S-1236	lang , ja .
T-1236	a long time , yes .
H-1236	long , yeah . know , long , yes .

S-1374	die einzige chance .
T-1374	that &apos;s your only chance .
H-1374	the only opportunity .

S-1551	ja , sozusagen .
